from;to;polyline;weight
Bangkok;Prachuap Khiri Khan;LINESTRING(100.557322973 13.7175975701, 99.5777392025 11.8001333794);4878.0
Bangkok;Phuket;LINESTRING(100.557322973 13.7175975701, 98.2727379223 7.86370621154);1513.0
Bangkok;Phatthalung;LINESTRING(100.557322973 13.7175975701, 100.045088379 7.45917876629);72.0
Bangkok;Phitsanulok;LINESTRING(100.557322973 13.7175975701, 100.518454781 17.0947359704);1006.0
Bangkok;Phang Nga;LINESTRING(100.557322973 13.7175975701, 98.1018967416 8.69774345234);234.0
Bangkok;Phetchabun;LINESTRING(100.557322973 13.7175975701, 101.242596454 16.3926965851);1083.0
Bangkok;Phrae;LINESTRING(100.557322973 13.7175975701, 100.012937431 18.2139119856);316.0
Bangkok;Prachinburi;LINESTRING(100.557322973 13.7175975701, 101.618777543 14.0445407759);867.0
Bangkok;Pathum Thani;LINESTRING(100.557322973 13.7175975701, 100.56915304 14.0830923585);43070.0
Bangkok;Pattani;LINESTRING(100.557322973 13.7175975701, 101.347821677 6.73989916225);91.0
Bangkok;Phayao;LINESTRING(100.557322973 13.7175975701, 100.225624368 19.2180780435);195.0
Bangkok;Ratchaburi;LINESTRING(100.557322973 13.7175975701, 99.5857449774 13.5495309307);4320.0
Bangkok;Roi Et;LINESTRING(100.557322973 13.7175975701, 103.828448191 15.9385220182);391.0
Bangkok;Ranong;LINESTRING(100.557322973 13.7175975701, 98.563678981 9.92248571424);113.0
Bangkok;Rayong;LINESTRING(100.557322973 13.7175975701, 101.343222133 12.8409659694);3480.0
Bangkok;Sing Buri;LINESTRING(100.557322973 13.7175975701, 100.320977667 14.8716158255);623.0
Bangkok;Songkhla;LINESTRING(100.557322973 13.7175975701, 100.548759187 6.94884143693);1048.0
Bangkok;Samut Songkhram;LINESTRING(100.557322973 13.7175975701, 99.9367402385 13.3593198916);2228.0
Bangkok;Samut Sakhon;LINESTRING(100.557322973 13.7175975701, 100.177263278 13.5962888145);5196.0
Bangkok;Sa Kaeo;LINESTRING(100.557322973 13.7175975701, 102.332311439 13.6777234283);486.0
