from;to;polyline;weight
Ang Thong;Nakhon Pathom;LINESTRING(100.34145623 14.6380639474, 100.068033595 13.8876112057);0.0169393201067
Ang Thong;Nakhon Si Thammarat;LINESTRING(100.34145623 14.6380639474, 99.7073199322 8.51358626995);0.00721587492483
Ang Thong;Nakhon Sawan;LINESTRING(100.34145623 14.6380639474, 99.9869845225 15.6823145632);0.0337909186906
Ang Thong;Narathiwat;LINESTRING(100.34145623 14.6380639474, 101.751727633 6.12680622765);0.001287001287
Ang Thong;Nakhon Nayok;LINESTRING(100.34145623 14.6380639474, 101.218224714 14.262571957);0.0175548589342
Ang Thong;Phetchaburi;LINESTRING(100.34145623 14.6380639474, 99.6075392745 12.9986537807);0.0145542753184
Ang Thong;Phichit;LINESTRING(100.34145623 14.6380639474, 100.409668319 16.2635958818);0.020640569395
Ang Thong;Prachuap Khiri Khan;LINESTRING(100.34145623 14.6380639474, 99.5777392025 11.8001333794);0.0147574517826
Ang Thong;Phuket;LINESTRING(100.34145623 14.6380639474, 98.2727379223 7.86370621154);0.00199322304166
Ang Thong;Phatthalung;LINESTRING(100.34145623 14.6380639474, 100.045088379 7.45917876629);0.000868055555556
Ang Thong;Phitsanulok;LINESTRING(100.34145623 14.6380639474, 100.518454781 17.0947359704);0.0173076923077
Ang Thong;Phang Nga;LINESTRING(100.34145623 14.6380639474, 98.1018967416 8.69774345234);0.00211528291909
Ang Thong;Phetchabun;LINESTRING(100.34145623 14.6380639474, 101.242596454 16.3926965851);0.0115059221658
Ang Thong;Phrae;LINESTRING(100.34145623 14.6380639474, 100.012937431 18.2139119856);0.0150225338007
Ang Thong;Prachinburi;LINESTRING(100.34145623 14.6380639474, 101.618777543 14.0445407759);0.00921882581271
Ang Thong;Pathum Thani;LINESTRING(100.34145623 14.6380639474, 100.56915304 14.0830923585);0.0244994910078
Ang Thong;Pattani;LINESTRING(100.34145623 14.6380639474, 101.347821677 6.73989916225);0.0
Ang Thong;Phayao;LINESTRING(100.34145623 14.6380639474, 100.225624368 19.2180780435);0.0143953934741
Ang Thong;Ratchaburi;LINESTRING(100.34145623 14.6380639474, 99.5857449774 13.5495309307);0.00992282249173
Ang Thong;Roi Et;LINESTRING(100.34145623 14.6380639474, 103.828448191 15.9385220182);0.00741473059812
Ang Thong;Ranong;LINESTRING(100.34145623 14.6380639474, 98.563678981 9.92248571424);0.00303951367781
Ang Thong;Rayong;LINESTRING(100.34145623 14.6380639474, 101.343222133 12.8409659694);0.0156342766673
Ang Thong;Sing Buri;LINESTRING(100.34145623 14.6380639474, 100.320977667 14.8716158255);0.0882701421801
Ang Thong;Songkhla;LINESTRING(100.34145623 14.6380639474, 100.548759187 6.94884143693);0.00253004427577
Ang Thong;Samut Songkhram;LINESTRING(100.34145623 14.6380639474, 99.9367402385 13.3593198916);0.0142679900744
Ang Thong;Samut Sakhon;LINESTRING(100.34145623 14.6380639474, 100.177263278 13.5962888145);0.0187832912812
Ang Thong;Sa Kaeo;LINESTRING(100.34145623 14.6380639474, 102.332311439 13.6777234283);0.00482425913163
Ang Thong;Surat Thani;LINESTRING(100.34145623 14.6380639474, 99.099159387 9.13381321812);0.00488102501525
Ang Thong;Sakon Nakhon;LINESTRING(100.34145623 14.6380639474, 103.822703129 17.5131235152);0.00313873195229
Ang Thong;Suphan Buri;LINESTRING(100.34145623 14.6380639474, 99.8038953973 14.648468015);0.0521866960676
Ang Thong;Samut Prakan;LINESTRING(100.34145623 14.6380639474, 100.622262423 13.5941395905);0.0135205408216
Ang Thong;Saraburi;LINESTRING(100.34145623 14.6380639474, 101.026016661 14.6689938567);0.0257535850161
Ang Thong;Surin;LINESTRING(100.34145623 14.6380639474, 103.655766949 14.9277736873);0.00379027163613
Ang Thong;Sisaket;LINESTRING(100.34145623 14.6380639474, 104.40982653 14.9516411754);0.00220628792057
Ang Thong;Sukhothai;LINESTRING(100.34145623 14.6380639474, 99.7963503647 17.3641392291);0.00856389986825
Ang Thong;Satun;LINESTRING(100.34145623 14.6380639474, 99.5703559981 6.7318170405);0.00348675034868
Ang Thong;Tak;LINESTRING(100.34145623 14.6380639474, 98.6551659992 16.6465147647);0.0155595451825
Ang Thong;Trang;LINESTRING(100.34145623 14.6380639474, 99.3599859433 7.48356217488);0.00369276218612
Ang Thong;Trat;LINESTRING(100.34145623 14.6380639474, 102.503195011 12.1382302437);0.00816743236345
Ang Thong;Ubon Ratchathani;LINESTRING(100.34145623 14.6380639474, 104.950118622 15.2036640615);0.00305725403002
Ang Thong;Udon Thani;LINESTRING(100.34145623 14.6380639474, 102.840541098 17.512721051);0.00330578512397
Ang Thong;Uttaradit;LINESTRING(100.34145623 14.6380639474, 100.431418199 17.7260698659);0.0192435301924
Ang Thong;Uthai Thani;LINESTRING(100.34145623 14.6380639474, 99.5807809841 15.3329804403);0.0282258064516
Ang Thong;Yala;LINESTRING(100.34145623 14.6380639474, 101.188657942 6.16406279095);0.00179051029543
Ang Thong;Yasothon;LINESTRING(100.34145623 14.6380639474, 104.371511185 15.8497001429);0.00339270568278
Phra Nakhon Si Ayutthaya;Amnat Charoen;LINESTRING(100.514170724 14.4207801749, 104.72915159 15.8623982644);0.00132255694342
Phra Nakhon Si Ayutthaya;Ang Thong;LINESTRING(100.514170724 14.4207801749, 100.34145623 14.6380639474);0.0570379782578
Phra Nakhon Si Ayutthaya;Phra Nakhon Si Ayutthaya;LINESTRING(100.514170724 14.4207801749, 100.514170724 14.4207801749);0.0
Phra Nakhon Si Ayutthaya;Bangkok;LINESTRING(100.514170724 14.4207801749, 100.557322973 13.7175975701);0.0729034916935
Phra Nakhon Si Ayutthaya;Bueng Kan;LINESTRING(100.514170724 14.4207801749, 103.722237352 18.0575482114);0.00190169689877
