uid;polyline;isLeafNode;value
1;LINESTRING(121.920350144 20.44508, 109.622957572 20.44508, 109.622957572 8.92493958788, 121.920350144 8.92493958788, 121.920350144 20.44508);True;NULL
4;LINESTRING(109.622957572 20.44508, 106.548609429 20.44508, 106.548609429 17.565044897, 109.622957572 17.565044897, 109.622957572 20.44508);True;NULL
6;LINESTRING(106.548609429 20.44508, 105.011435358 20.44508, 105.011435358 19.0050624485, 106.548609429 19.0050624485, 106.548609429 20.44508);True;NULL
7;LINESTRING(105.011435358 20.44508, 103.474261286 20.44508, 103.474261286 19.0050624485, 105.011435358 19.0050624485, 105.011435358 20.44508);True;NULL
9;LINESTRING(105.011435358 19.0050624485, 104.242848322 19.0050624485, 104.242848322 18.2850536727, 105.011435358 18.2850536727, 105.011435358 19.0050624485);True;NULL
11;LINESTRING(104.242848322 19.0050624485, 103.858554804 19.0050624485, 103.858554804 18.6450580606, 104.242848322 18.6450580606, 104.242848322 19.0050624485);True;NULL
12;LINESTRING(103.858554804 19.0050624485, 103.474261286 19.0050624485, 103.474261286 18.6450580606, 103.858554804 18.6450580606, 103.858554804 19.0050624485);True;NULL
14;LINESTRING(103.858554804 18.6450580606, 103.666408045 18.6450580606, 103.666408045 18.4650558667, 103.858554804 18.4650558667, 103.858554804 18.6450580606);True;NULL
15;LINESTRING(103.666408045 18.6450580606, 103.474261286 18.6450580606, 103.474261286 18.4650558667, 103.666408045 18.4650558667, 103.666408045 18.6450580606);True;NULL
17;LINESTRING(103.666408045 18.4650558667, 103.570334666 18.4650558667, 103.570334666 18.3750547697, 103.666408045 18.3750547697, 103.666408045 18.4650558667);True;NULL
18;LINESTRING(103.570334666 18.4650558667, 103.474261286 18.4650558667, 103.474261286 18.3750547697, 103.570334666 18.3750547697, 103.570334666 18.4650558667);True;Bueng Kan
19;LINESTRING(103.570334666 18.3750547697, 103.474261286 18.3750547697, 103.474261286 18.2850536727, 103.570334666 18.2850536727, 103.570334666 18.3750547697);True;Bueng Kan
20;LINESTRING(103.666408045 18.3750547697, 103.570334666 18.3750547697, 103.570334666 18.2850536727, 103.666408045 18.2850536727, 103.666408045 18.3750547697);True;Bueng Kan
22;LINESTRING(103.858554804 18.4650558667, 103.762481424 18.4650558667, 103.762481424 18.3750547697, 103.858554804 18.3750547697, 103.858554804 18.4650558667);True;NULL
23;LINESTRING(103.762481424 18.4650558667, 103.666408045 18.4650558667, 103.666408045 18.3750547697, 103.762481424 18.3750547697, 103.762481424 18.4650558667);True;NULL
24;LINESTRING(103.762481424 18.3750547697, 103.666408045 18.3750547697, 103.666408045 18.2850536727, 103.762481424 18.2850536727, 103.762481424 18.3750547697);True;Bueng Kan
25;LINESTRING(103.858554804 18.3750547697, 103.762481424 18.3750547697, 103.762481424 18.2850536727, 103.858554804 18.2850536727, 103.858554804 18.3750547697);True;Bueng Kan
26;LINESTRING(104.242848322 18.6450580606, 103.858554804 18.6450580606, 103.858554804 18.2850536727, 104.242848322 18.2850536727, 104.242848322 18.6450580606);True;NULL
29;LINESTRING(104.242848322 18.2850536727, 104.050701563 18.2850536727, 104.050701563 18.1050514788, 104.242848322 18.1050514788, 104.242848322 18.2850536727);True;NULL
30;LINESTRING(104.050701563 18.2850536727, 103.858554804 18.2850536727, 103.858554804 18.1050514788, 104.050701563 18.1050514788, 104.050701563 18.2850536727);True;Bueng Kan
31;LINESTRING(104.050701563 18.1050514788, 103.858554804 18.1050514788, 103.858554804 17.9250492848, 104.050701563 17.9250492848, 104.050701563 18.1050514788);True;Bueng Kan
33;LINESTRING(104.242848322 18.1050514788, 104.146774942 18.1050514788, 104.146774942 18.0150503818, 104.242848322 18.0150503818, 104.242848322 18.1050514788);True;NULL
34;LINESTRING(104.146774942 18.1050514788, 104.050701563 18.1050514788, 104.050701563 18.0150503818, 104.146774942 18.0150503818, 104.146774942 18.1050514788);True;Bueng Kan
35;LINESTRING(104.146774942 18.0150503818, 104.050701563 18.0150503818, 104.050701563 17.9250492848, 104.146774942 17.9250492848, 104.146774942 18.0150503818);True;Bueng Kan
36;LINESTRING(104.242848322 18.0150503818, 104.146774942 18.0150503818, 104.146774942 17.9250492848, 104.242848322 17.9250492848, 104.242848322 18.0150503818);True;Nakhon Phanom
38;LINESTRING(103.858554804 18.2850536727, 103.666408045 18.2850536727, 103.666408045 18.1050514788, 103.858554804 18.1050514788, 103.858554804 18.2850536727);True;Bueng Kan
39;LINESTRING(103.666408045 18.2850536727, 103.474261286 18.2850536727, 103.474261286 18.1050514788, 103.666408045 18.1050514788, 103.666408045 18.2850536727);True;Bueng Kan
41;LINESTRING(103.666408045 18.1050514788, 103.570334666 18.1050514788, 103.570334666 18.0150503818, 103.666408045 18.0150503818, 103.666408045 18.1050514788);True;Bueng Kan
42;LINESTRING(103.570334666 18.1050514788, 103.474261286 18.1050514788, 103.474261286 18.0150503818, 103.570334666 18.0150503818, 103.570334666 18.1050514788);True;Sakon Nakhon
43;LINESTRING(103.570334666 18.0150503818, 103.474261286 18.0150503818, 103.474261286 17.9250492848, 103.570334666 17.9250492848, 103.570334666 18.0150503818);True;Sakon Nakhon
44;LINESTRING(103.666408045 18.0150503818, 103.570334666 18.0150503818, 103.570334666 17.9250492848, 103.666408045 17.9250492848, 103.666408045 18.0150503818);True;Sakon Nakhon
45;LINESTRING(103.858554804 18.1050514788, 103.666408045 18.1050514788, 103.666408045 17.9250492848, 103.858554804 17.9250492848, 103.858554804 18.1050514788);True;Bueng Kan
