,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Sukhothai,0,0,16,118,0,3,16,1,76,2,1,0,22,3,1,2,27,4,0,1,49,1,2,0,6,3,4,9,0,0,5,0,7,0,18,1,0,2,9,1,2,0,182,0,14,17,0,16,0,21,2,0,0,1,4,1,3,0,1,0,1,4,18,0,0,1,0,0,32,0,1,1,1,43,4,0,0
Satun,0,0,1,84,0,0,9,0,10,0,0,0,1,1,32,0,0,0,1,0,0,1,0,0,0,1,0,6,0,1,2,0,5,8,1,4,0,2,0,5,3,2,1,6,3,0,0,5,2,1,0,0,0,1,0,141,1,0,1,5,2,0,9,1,0,0,1,0,0,13,0,0,1,1,0,5,0
Tak,0,1,8,156,1,0,11,2,146,8,0,0,5,3,0,7,77,4,0,2,130,16,4,1,0,2,3,8,0,2,5,0,3,0,42,0,2,5,2,5,0,0,45,1,5,10,1,14,1,10,2,0,0,4,3,1,2,1,1,2,1,2,16,3,2,1,25,1,0,0,1,2,2,8,5,0,0
Trang,0,0,25,112,0,0,4,2,7,0,0,15,1,1,111,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,2,0,3,29,1,0,0,3,0,3,18,44,0,12,4,0,0,7,4,1,2,0,0,2,0,72,1,0,0,15,0,0,8,0,0,0,0,11,0,0,2,2,0,0,0,5,0
Trat,0,0,13,358,1,5,72,8,17,0,0,1,8,209,3,8,1,7,1,3,2,2,1,0,0,0,0,28,0,0,17,1,7,0,0,1,4,12,0,6,5,0,3,1,6,1,5,22,0,0,5,2,0,78,0,2,1,2,7,3,0,3,35,2,2,2,1,1,0,1,0,9,3,0,0,0,0
Ubon Ratchathani,95,1,15,722,0,59,88,9,27,0,9,3,6,19,0,224,1,6,11,10,5,2,2,56,91,0,2,34,0,3,101,30,17,1,4,0,9,13,4,15,3,0,6,1,8,1,7,56,0,1,3,63,0,14,1,1,4,3,4,2,12,3,67,5,70,616,1,0,3,2,8,0,14,3,0,0,115
Udon Thani,1,0,10,550,37,6,52,6,57,2,13,0,14,10,3,720,0,3,31,92,10,3,2,2,114,0,2,26,131,1213,75,20,19,2,0,0,3,11,1,14,15,0,10,2,20,0,2,39,0,2,7,19,0,16,2,7,0,2,1,5,134,3,60,5,2,9,1,1,4,0,1,15,0,1,1,0,1
Uttaradit,0,4,14,95,0,0,14,1,62,3,0,1,24,1,0,5,2,2,0,7,31,7,3,0,4,4,21,9,0,0,1,0,5,0,23,0,2,7,9,2,1,0,160,0,18,103,0,11,0,21,0,0,0,5,4,0,0,0,0,0,0,5,18,3,0,1,51,0,4,0,0,0,2,0,0,0,1
Uthai Thani,0,9,24,119,0,0,10,1,8,39,0,0,1,3,0,1,6,1,0,0,2,1,3,0,0,0,0,20,0,0,7,0,10,0,138,0,1,2,4,3,1,0,12,0,2,1,2,27,0,0,1,0,0,2,15,0,0,2,0,0,0,20,8,2,2,0,2,0,3,0,0,1,0,0,0,0,0
Yala,0,0,0,30,0,0,1,0,4,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,0,24,0,0,0,2,1,3,0,0,0,0,0,0,51,0,0,0,0,0,0,60,0,0,0,2,0,0,3,0,0,0,0,3,0,2,1,0,0,0,0,0,0
Yasothon,7,0,2,44,0,8,4,0,4,0,0,0,0,0,0,24,0,2,6,0,0,0,0,21,52,0,0,5,1,3,10,4,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,50,1,2,0,1,0,1,1,0,4,0,2,1,3,16,0,0,0,0,0,99,2,1,0,0,0
