,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Phitsanulok,1,54,304,1185,0,50,315,133,491,96,32,9,259,91,27,146,161,105,18,111,242,107,86,11,53,30,84,393,12,29,174,12,193,25,333,2,49,161,240,184,21,9,0,10,278,249,24,409,3,145,88,25,8,113,140,38,71,82,21,35,14,102,368,98,20,15,248,5,128,9,27,43,67,253,30,6,15
Phang Nga,1,2,42,332,0,3,55,17,67,3,6,19,27,17,205,23,7,16,5,14,12,4,30,1,3,9,6,74,3,9,31,1,34,27,12,3,8,39,3,51,374,14,10,0,8,5,7,50,5,7,28,4,11,16,6,48,26,24,4,91,4,8,117,13,4,2,4,11,9,23,6,5,12,5,3,1,2
Phetchabun,4,32,176,756,0,31,215,101,179,31,46,12,70,62,23,176,38,73,23,146,86,46,127,6,78,14,29,266,13,35,159,12,138,20,115,3,42,85,74,114,17,12,278,8,0,50,30,253,4,43,66,47,5,75,57,28,50,55,15,27,15,62,240,132,18,12,48,6,33,11,18,39,59,57,18,6,11
Phrae,3,30,147,550,0,20,153,63,475,36,13,7,238,36,15,61,35,43,13,24,280,112,33,5,23,22,152,171,7,14,72,6,94,9,142,0,24,79,66,86,8,2,249,5,50,0,8,207,0,156,35,12,5,52,65,6,31,44,6,22,10,48,160,41,9,9,52,3,48,5,11,15,28,189,5,1,8
Prachinburi,2,18,133,758,0,60,331,224,86,17,20,5,41,119,7,108,17,68,15,26,28,13,48,7,46,5,9,235,6,26,312,11,107,10,35,2,187,92,7,95,10,2,24,7,30,8,0,308,1,10,59,26,2,121,29,16,56,45,87,12,11,36,270,107,26,20,4,5,14,2,22,45,49,8,10,6,6
Pathum Thani,16,357,2468,11775,0,244,2579,1128,1117,220,145,69,486,632,124,628,178,846,86,156,400,179,527,50,222,62,119,4550,25,200,1618,75,1835,111,552,10,970,1300,154,1318,136,27,409,50,253,207,308,0,26,149,668,145,27,882,421,201,657,802,136,191,74,560,3652,1049,134,113,112,35,171,59,176,299,289,146,96,26,42
Pattani,0,0,7,103,0,3,12,4,19,0,2,5,5,3,17,6,3,6,0,1,1,1,3,0,0,1,1,34,0,1,3,1,14,22,3,47,4,15,3,16,6,15,3,5,4,0,1,26,0,1,4,0,0,6,1,136,4,8,0,12,2,4,34,2,1,0,2,8,2,18,1,3,4,0,0,56,1
Phayao,1,29,100,450,0,13,130,57,455,34,10,6,629,23,8,37,44,30,6,14,235,80,16,1,16,14,58,137,3,10,42,4,72,8,114,3,23,66,50,76,8,0,145,7,43,156,10,149,1,0,31,13,2,49,50,15,24,31,9,13,7,43,116,31,7,3,44,3,46,7,11,17,20,84,10,2,2
Ratchaburi,6,44,343,2666,0,41,526,222,266,45,25,27,101,174,72,93,38,563,13,27,70,42,80,14,29,21,22,812,5,35,297,16,1186,28,78,5,129,756,13,630,64,13,88,28,66,35,59,668,4,31,0,24,8,155,46,57,622,415,19,65,18,176,777,170,32,20,22,19,43,16,38,44,55,22,18,9,8
Roi Et,20,15,91,495,0,73,143,53,66,11,28,4,26,40,9,468,10,40,142,49,23,16,24,49,471,5,7,133,13,42,252,38,50,6,23,0,30,52,6,67,4,2,25,4,47,12,26,145,0,13,24,0,2,67,13,14,21,40,17,11,38,23,129,67,44,51,7,4,11,2,16,144,88,14,7,2,82
