,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Nakhon Nayok,0,1,30,273,0,2,14,14,3,0,1,0,2,2,0,2,0,1,1,1,0,0,2,0,0,0,0,30,0,1,113,0,16,0,4,0,0,2,0,1,1,0,1,0,0,0,69,299,0,0,8,0,0,5,2,0,2,2,2,2,0,1,41,36,0,0,0,0,0,0,1,0,0,0,0,0,0
Phetchaburi,1,3,14,600,0,1,23,8,8,1,2,5,1,2,0,1,0,34,0,0,3,0,2,1,8,1,1,71,0,2,19,0,110,3,5,0,2,0,1,1433,1,1,0,0,1,1,1,56,1,0,208,1,2,2,5,0,222,312,1,3,0,15,57,6,0,0,0,1,1,0,6,2,2,1,0,0,0
Phichit,0,1,11,21,0,0,0,2,2,7,1,0,0,0,0,0,4,1,0,1,0,0,6,0,0,0,1,3,0,0,1,0,0,0,65,0,0,1,0,0,0,0,90,0,11,4,0,6,0,1,0,0,0,0,13,0,0,1,1,0,0,1,1,0,1,0,2,0,1,0,0,2,1,6,2,0,0
Prachuap Khiri Khan,0,0,7,327,0,2,14,5,6,0,1,42,2,1,2,6,0,8,0,1,1,0,0,0,4,1,0,42,0,1,9,0,55,7,4,0,1,1717,1,0,1,2,1,1,7,0,1,30,0,2,63,0,0,1,1,1,83,167,0,13,1,6,45,2,0,0,0,0,1,1,1,3,1,1,0,0,0
Phuket,0,0,9,159,0,0,4,0,14,0,0,3,1,1,288,3,1,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,7,0,0,1,0,0,7,0,4,2,329,15,0,0,2,0,0,4,0,1,3,0,24,1,2,0,36,0,0,107,0,0,0,0,1,0,9,1,1,5,0,0,2,0
Phatthalung,0,0,4,8,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,2,0,0,0,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,51,0,1,0,3,0,0,1,0,0,0,0,1,0,31,0,0,0,0,0,0,0
Phitsanulok,0,2,28,79,0,0,3,1,19,12,1,0,8,2,0,8,20,2,2,26,14,3,5,0,1,1,3,11,1,1,6,2,1,0,79,0,0,2,80,2,0,0,0,0,79,49,0,15,0,9,1,0,0,1,19,2,1,1,1,1,0,4,1,3,0,0,62,0,9,0,0,0,0,89,4,0,2
Phang Nga,0,0,6,24,0,0,0,0,3,0,0,5,0,0,79,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,4,275,1,0,0,2,0,1,3,0,1,2,0,7,0,0,8,0,1,0,17,0,0,4,0,0,0,0,3,0,8,0,0,2,0,0,0,0
Phetchabun,0,0,19,93,0,0,10,2,6,1,9,0,2,2,4,34,0,0,3,40,5,1,38,1,2,1,2,12,0,2,9,0,2,2,9,0,0,1,15,2,9,0,104,2,0,8,1,8,0,2,2,1,0,1,2,2,1,1,2,1,0,6,4,21,1,0,5,0,1,1,1,3,3,12,1,0,2
Phrae,0,1,3,21,0,0,1,0,33,2,0,0,12,0,1,1,1,0,0,1,98,10,1,0,0,1,26,3,0,0,0,0,1,0,10,0,1,1,4,3,0,0,51,0,7,0,0,2,0,44,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,1,0,67,1,0,0
Prachinburi,0,2,7,66,0,2,20,67,0,0,0,1,0,12,0,3,0,0,0,0,0,0,0,0,1,0,0,7,1,0,52,0,2,0,0,0,82,1,0,1,0,0,0,0,1,0,0,17,0,0,2,1,0,6,0,0,2,2,18,1,1,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Pathum Thani,0,40,740,6549,0,6,144,52,30,25,2,2,14,11,2,18,14,34,0,2,14,2,31,0,5,1,1,1707,0,5,122,0,129,1,45,0,176,39,4,22,3,2,9,2,8,4,15,0,0,2,26,1,0,23,34,4,33,36,2,4,3,40,376,133,2,5,5,1,3,1,2,11,12,2,8,0,1
Pattani,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0
Phayao,0,0,2,15,0,0,4,0,30,1,0,1,144,0,0,1,3,0,0,2,48,2,0,0,0,0,13,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,10,0,2,38,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,2,0,0,1,0,5,0,0,0,0,13,0,0,0
