,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,52,1,0,0,0,13
Ang Thong,0,0,254,167,0,1,13,2,3,10,0,0,2,1,0,1,2,2,0,0,2,0,9,0,0,0,0,34,0,0,2,1,10,0,14,0,3,4,2,1,0,0,4,0,0,1,2,56,0,2,3,0,0,2,62,0,3,5,0,0,0,69,4,9,0,0,3,0,3,0,0,0,1,2,6,0,0
Phra Nakhon Si Ayutthaya,0,206,0,2368,0,13,169,37,52,35,8,7,18,13,14,24,21,30,2,0,8,4,118,1,18,0,2,289,0,8,280,1,89,4,103,0,46,28,13,29,14,5,34,6,28,5,8,1162,0,5,21,4,2,21,121,1,7,20,4,4,0,103,147,300,9,3,11,2,6,23,1,10,2,7,16,0,1
Bangkok,9,93,1896,0,4,88,3933,1012,1291,51,52,47,542,286,224,396,68,616,9,76,227,29,206,20,104,39,79,13309,3,52,922,41,4453,88,264,20,633,1208,42,655,323,13,168,44,195,43,139,11625,11,34,1034,65,18,568,96,211,440,1445,70,252,32,315,17243,505,43,54,35,31,54,46,125,317,191,33,37,9,6
Bueng Kan,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,3,0,32,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,0,1,1,0,0,0,0,0,20,0,0,0,0
Buriram,2,0,3,113,0,0,25,4,12,0,5,0,0,6,0,43,1,1,1,1,2,0,0,1,58,0,2,10,0,1,235,0,6,0,1,1,2,1,0,2,0,0,1,0,2,0,7,16,0,1,0,12,0,5,0,0,1,1,18,1,1,1,9,12,75,24,2,0,1,0,1,43,2,1,0,0,6
Chonburi,0,7,176,5086,0,15,0,517,67,9,7,2,25,187,6,38,6,58,4,8,25,2,20,2,13,4,4,304,0,8,124,3,126,9,32,0,30,44,2,31,10,0,12,4,22,3,63,387,1,9,45,10,2,788,18,4,23,31,17,11,2,22,854,30,8,8,2,4,4,1,38,25,18,6,5,0,0
Chachoengsao,0,3,36,1471,0,5,912,0,10,1,0,0,3,109,3,10,0,6,2,1,2,1,1,3,2,0,3,73,0,1,39,0,24,0,8,0,23,17,2,5,0,0,3,0,3,0,78,99,0,1,7,1,0,195,4,2,3,7,41,3,0,2,322,20,2,4,0,0,0,0,23,3,1,0,0,0,1
Chiang Mai,1,4,29,1070,0,12,64,5,0,1,6,1,841,9,62,37,25,15,0,2,735,830,4,1,13,199,23,50,0,5,24,2,32,3,31,0,5,13,5,10,33,0,49,7,17,97,0,70,3,78,25,1,1,15,2,14,3,4,0,28,1,12,142,4,1,8,26,3,52,2,10,12,22,20,2,2,0
Chai Nat,0,3,31,88,0,0,21,0,4,0,0,0,2,0,0,0,5,2,0,0,6,0,10,0,0,1,1,22,0,0,5,0,7,0,101,0,2,1,9,3,0,0,13,0,1,3,1,35,0,2,3,0,0,7,37,1,3,0,1,0,0,29,23,7,1,0,2,0,3,0,0,0,2,0,35,0,0
Chaiyaphum,0,0,5,59,1,8,5,1,6,1,0,0,0,0,1,109,0,0,1,4,0,0,9,0,9,0,0,8,2,4,147,1,2,0,7,0,1,3,1,1,0,0,2,0,12,0,0,12,0,2,0,4,0,0,0,0,0,0,0,0,1,0,3,8,2,4,1,0,1,0,0,1,11,1,1,0,1
Chumphon,0,0,14,67,0,0,2,0,3,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3,3,1,0,0,9,0,56,4,0,2,6,0,0,1,5,2,1,0,0,11,0,0,7,2,0,0,51,0,1,0,0,0,0,0,0,0,15,0,1,1,0,0,1,0
Chiang Rai,0,2,6,357,0,1,21,0,777,1,2,0,0,1,6,5,2,2,0,2,65,18,1,1,4,9,11,22,0,3,3,0,8,1,8,0,2,7,1,5,5,0,23,0,5,47,0,27,1,269,6,1,0,6,0,5,1,3,0,2,1,5,58,0,7,0,3,0,2,2,1,3,4,5,0,1,0
Chanthaburi,0,0,21,447,0,12,211,52,9,1,2,0,2,0,0,8,0,5,0,1,0,2,1,0,7,0,0,33,0,0,31,1,13,0,1,0,5,7,0,4,0,0,3,0,2,0,19,43,0,0,14,3,0,430,1,0,2,6,37,0,1,3,62,5,3,2,1,0,2,0,146,5,3,0,1,0,0
Krabi,0,1,8,167,0,0,7,0,32,0,0,5,5,1,0,1,1,3,0,0,1,0,0,0,0,2,1,4,0,0,2,0,3,14,2,3,0,2,0,3,405,17,0,119,8,1,0,4,1,0,0,0,1,0,1,130,2,0,0,69,1,0,13,0,0,1,0,13,0,68,0,3,0,0,0,0,0
Khon Kaen,3,1,8,404,4,30,36,6,27,0,80,0,10,4,1,0,2,9,136,77,7,3,9,11,923,1,1,23,25,86,291,15,18,1,4,0,7,1,1,9,3,1,14,0,55,1,6,48,1,2,2,137,0,15,1,1,1,5,0,2,38,3,48,13,6,9,2,0,2,1,4,63,342,4,0,0,13
Kamphaeng Phet,0,1,16,80,0,0,4,0,68,8,1,0,4,1,0,2,0,2,0,1,60,6,1,0,1,1,2,2,0,0,1,0,8,0,100,0,0,0,6,0,1,0,51,0,1,1,0,21,0,4,1,0,0,4,14,0,0,1,1,0,0,4,4,6,0,0,27,0,72,0,0,0,0,4,3,0,0
Kanchanaburi,0,2,33,906,0,2,61,10,13,4,2,0,5,4,4,7,3,0,1,4,1,0,4,3,3,1,1,81,0,1,22,0,304,0,3,0,9,68,1,22,2,0,7,0,2,0,0,77,0,1,240,6,0,5,0,2,18,18,0,7,0,84,50,3,1,0,2,0,2,0,1,1,1,2,2,0,1
Kalasin,1,0,5,20,2,3,4,1,0,0,1,0,0,1,0,195,0,0,0,2,0,0,1,11,462,0,1,1,0,3,16,9,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,2,0,0,0,64,0,2,0,0,0,1,0,0,22,0,1,0,1,2,0,0,0,0,0,5,18,0,0,0,4
Loei Province,1,0,0,89,0,0,11,0,7,0,8,0,4,1,1,96,0,3,3,0,3,2,2,1,17,0,4,9,16,40,20,1,2,0,2,0,3,0,2,1,2,0,38,1,72,3,2,6,0,4,1,13,0,2,1,4,1,0,0,1,12,3,2,3,1,1,0,0,1,0,2,2,53,2,0,0,0
