,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,0,27,0,2,3,0,3,0,0,0,0,0,0,5,0,1,1,3,0,0,0,11,4,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,0,2,1,0,5,0,0,0,0,0,79,1,0,0,0,7
Ang Thong,0,0,340,248,0,0,11,4,7,3,1,0,4,1,2,2,1,4,0,0,3,0,17,1,0,0,0,50,0,0,11,0,20,0,20,0,1,2,1,5,0,0,4,1,3,1,0,81,0,0,4,1,0,5,65,0,2,5,1,0,0,45,20,13,0,0,0,0,1,0,0,1,0,4,9,0,0
Phra Nakhon Si Ayutthaya,1,308,0,3812,1,15,365,49,82,41,8,16,16,35,21,29,20,62,6,6,18,3,137,2,18,2,3,463,1,5,254,3,181,3,112,2,68,65,17,68,19,2,33,10,35,13,21,1880,0,5,34,4,3,57,125,3,38,38,14,19,2,186,262,380,7,5,16,1,8,25,13,11,9,13,24,0,2
Bangkok,16,278,3799,0,21,257,9575,2076,2765,160,166,147,923,993,487,929,157,1860,67,246,420,56,625,40,279,112,251,25002,11,113,2543,117,8911,224,646,43,1596,3120,119,2401,712,27,475,115,526,113,409,21243,45,77,2067,182,57,1710,294,493,1144,2378,243,613,82,974,29058,1178,110,150,110,81,146,114,364,603,499,90,112,29,42
Bueng Kan,0,0,0,19,0,0,4,1,0,0,1,1,0,0,1,7,0,0,3,2,0,0,0,0,1,0,0,3,0,56,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,2,0,1,0,0,1,0,1,0,34,0,0,0,0
Buriram,2,1,18,244,0,0,35,9,18,1,11,0,2,18,1,82,2,4,4,1,7,1,3,3,90,0,1,31,0,4,369,0,13,1,1,2,5,8,0,3,2,0,3,1,6,2,11,31,0,2,2,17,0,7,1,0,1,5,15,2,3,2,14,17,111,28,3,1,0,0,4,45,4,0,0,0,8
Chonburi,2,21,316,8831,2,49,0,1064,193,29,14,10,63,336,23,103,14,134,10,30,47,10,44,8,38,11,13,579,1,16,320,14,274,14,65,2,73,132,9,92,43,2,48,6,74,10,122,824,0,14,99,22,2,1094,22,23,48,82,40,29,8,52,1551,62,23,23,15,10,6,3,73,62,44,12,9,1,2
Chachoengsao,0,3,71,2227,0,8,721,0,14,1,2,0,8,71,3,13,3,16,1,1,3,1,9,0,4,0,1,153,0,3,63,2,49,3,10,0,41,28,4,17,0,0,9,0,7,0,75,184,0,0,17,2,0,139,3,3,11,15,44,5,0,8,415,16,4,3,1,0,2,2,9,4,5,1,1,0,0
Chiang Mai,0,5,99,2820,0,19,177,19,0,7,10,7,1695,26,114,80,97,44,6,15,1418,1678,21,5,26,292,76,160,0,11,73,5,55,8,106,2,23,48,15,58,69,2,95,13,54,228,10,160,3,200,44,7,0,56,18,26,15,11,3,77,11,26,373,20,7,13,76,11,136,6,15,26,51,59,8,3,4
Chai Nat,0,11,47,156,0,0,24,1,6,0,1,0,2,3,0,0,9,4,0,1,4,0,19,0,0,0,1,21,0,0,5,0,10,0,127,0,0,6,10,1,0,0,20,0,1,1,0,34,0,0,4,0,0,8,52,0,1,5,0,0,0,46,24,6,1,0,2,0,8,0,0,0,2,3,39,1,0
