,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,0,19,0,2,3,0,3,0,0,0,0,0,0,4,0,1,1,3,0,0,0,10,3,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,0,0,1,0,5,0,0,0,0,0,67,1,0,0,0,7
Ang Thong,0,0,307,203,0,0,9,3,5,3,1,0,4,1,2,2,1,3,0,0,3,0,16,0,0,0,0,47,0,0,11,0,19,0,18,0,1,2,1,5,0,0,4,0,3,1,0,71,0,0,3,1,0,5,64,0,2,5,1,0,0,40,19,13,0,0,0,0,1,0,0,1,0,4,9,0,0
Phra Nakhon Si Ayutthaya,0,300,0,3286,1,12,320,46,68,41,8,16,12,31,18,21,19,54,6,5,13,2,129,2,16,1,3,431,1,4,218,3,165,3,103,2,66,53,17,61,17,2,32,9,31,12,21,1790,0,3,29,3,3,52,122,3,37,37,13,17,2,180,239,367,7,4,16,1,7,25,9,11,8,11,22,0,2
Bangkok,13,261,3502,0,12,224,8650,1978,2324,150,146,124,759,883,405,800,141,1701,50,213,352,52,559,32,219,103,210,23844,10,96,2237,97,8270,187,557,39,1474,2819,106,2184,608,18,417,98,483,97,365,19959,38,58,1881,152,41,1555,274,418,1077,2275,225,504,63,899,27656,1109,91,130,102,72,128,100,318,507,431,78,92,25,40
Bueng Kan,0,0,0,13,0,0,3,0,0,0,1,1,0,0,1,5,0,0,2,1,0,0,0,0,0,0,0,2,0,48,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,2,0,1,0,0,1,0,0,0,29,0,0,0,0
Buriram,2,1,17,188,0,0,31,8,17,0,9,0,1,18,1,63,2,4,3,1,5,0,3,3,73,0,1,22,0,3,316,0,10,1,0,2,4,2,0,2,1,0,3,1,6,2,10,24,0,1,2,17,0,4,1,0,1,4,14,2,2,2,12,15,107,24,3,1,0,0,3,34,3,0,0,0,7
Chonburi,1,19,276,7360,1,45,0,1031,152,26,11,10,44,313,17,77,10,112,8,22,32,7,39,6,27,11,12,517,1,13,262,10,244,10,54,1,60,119,8,79,32,1,40,5,67,10,105,747,0,10,76,15,2,1015,19,20,45,77,34,22,5,49,1450,51,20,14,14,7,4,2,67,49,35,9,7,1,1
Chachoengsao,0,3,62,1866,0,8,671,0,14,1,2,0,7,67,3,10,2,13,1,0,2,1,8,0,4,0,1,141,0,2,54,2,41,3,7,0,40,23,4,14,0,0,7,0,7,0,72,171,0,0,16,1,0,133,3,3,9,15,42,4,0,7,395,14,3,3,1,0,2,2,9,4,5,1,1,0,0
Chiang Mai,0,5,95,2419,0,16,149,16,0,7,8,6,1449,24,86,66,93,32,3,14,1239,1625,20,1,21,268,65,132,0,8,56,4,50,7,97,2,18,39,14,51,53,2,82,13,48,189,8,143,3,175,39,6,0,51,18,19,13,9,3,60,9,21,358,18,6,13,69,9,125,6,14,20,45,49,6,2,2
Chai Nat,0,10,47,126,0,0,22,1,6,0,1,0,1,2,0,0,9,4,0,1,4,0,17,0,0,0,1,19,0,0,4,0,7,0,111,0,0,6,10,1,0,0,19,0,1,1,0,31,0,0,4,0,0,8,52,0,1,5,0,0,0,44,23,5,1,0,2,0,7,0,0,0,1,3,39,1,0
Chaiyaphum,0,0,11,121,0,9,18,2,12,0,0,0,2,3,0,140,1,3,2,13,2,2,13,1,18,0,0,8,1,8,172,3,2,0,5,0,1,3,1,1,0,0,7,1,21,0,2,17,0,0,1,3,0,4,1,0,1,1,2,1,2,1,3,16,3,3,1,0,0,0,0,5,13,0,0,0,0
Chumphon,0,1,11,110,0,0,4,0,7,0,0,0,3,0,7,1,0,1,0,0,0,0,0,0,1,0,0,7,0,0,1,0,7,20,1,0,1,15,1,93,6,5,0,10,2,0,1,2,2,1,1,1,25,0,0,11,6,4,0,72,1,0,6,2,0,0,0,1,0,19,1,1,0,1,0,0,0
Chiang Rai,1,2,22,922,0,3,71,3,1397,3,0,3,0,6,16,19,11,10,0,5,158,32,4,0,2,23,36,46,0,4,14,1,11,5,25,0,5,15,12,19,12,0,54,7,13,80,3,50,1,571,12,4,0,17,4,5,3,1,1,5,1,11,155,3,7,0,20,0,5,0,6,3,8,26,1,0,0
Chanthaburi,0,1,32,663,0,10,278,121,15,1,0,2,3,0,4,12,2,10,2,4,6,2,6,0,8,1,2,66,0,0,29,4,39,0,6,0,5,22,0,5,4,0,3,1,4,0,16,61,0,1,21,3,2,342,2,2,5,14,42,4,2,6,92,16,2,5,2,0,2,0,191,7,6,1,2,0,0
Krabi,0,0,29,422,0,1,13,5,123,0,1,4,12,0,0,4,0,6,0,1,1,1,3,0,2,8,0,7,0,1,3,0,9,31,4,7,1,8,0,6,774,27,1,171,18,3,0,8,3,0,8,0,4,4,0,168,5,2,1,186,0,1,44,0,0,0,1,32,1,122,2,0,3,0,0,1,0
