,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,0,13,0,2,2,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,7,3,0,0,3,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,58,0,0,0,0,7
Ang Thong,0,0,269,145,0,0,8,3,4,3,1,0,4,0,1,2,1,3,0,0,2,0,15,0,0,0,0,44,0,0,7,0,19,0,16,0,1,2,1,5,0,0,4,0,2,1,0,60,0,0,2,1,0,5,64,0,2,5,1,0,0,38,16,12,0,0,0,0,1,0,0,1,0,3,9,0,0
Phra Nakhon Si Ayutthaya,0,290,0,2739,1,10,249,44,54,39,7,16,8,27,12,16,17,43,6,3,13,2,117,2,14,1,3,372,0,3,185,3,147,3,86,1,60,45,15,47,13,1,26,8,27,8,16,1635,0,2,25,3,3,44,119,3,35,34,10,13,1,167,205,345,7,3,15,1,7,25,6,11,5,9,21,0,2
Bangkok,8,229,3083,0,8,191,7326,1819,1839,127,114,102,607,734,312,639,119,1464,38,167,276,44,481,26,161,87,157,21810,6,72,1841,72,7276,150,467,29,1280,2349,85,1863,493,18,340,81,402,81,304,17831,29,46,1615,125,33,1322,254,340,966,2113,195,379,50,761,25315,996,74,95,85,56,99,80,253,378,352,60,79,23,31
Bueng Kan,0,0,0,7,0,0,1,0,0,0,1,1,0,0,1,4,0,0,2,1,0,0,0,0,0,0,0,1,0,41,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,1,0,0,0,28,0,0,0,0
Buriram,2,1,15,140,0,0,24,7,16,0,9,0,1,15,1,49,1,4,3,1,5,0,2,2,59,0,1,15,0,3,265,0,8,1,0,2,4,0,0,2,1,0,2,1,5,2,7,16,0,1,1,13,0,3,1,0,1,2,14,1,2,2,12,15,97,21,3,1,0,0,2,29,2,0,0,0,6
Chonburi,1,17,234,5829,0,38,0,981,113,24,8,7,32,271,14,58,9,90,7,17,25,6,34,2,21,10,7,424,1,12,211,5,184,5,50,0,50,92,4,52,21,1,28,5,50,7,91,619,0,7,64,11,2,927,18,12,38,64,31,14,2,37,1279,44,14,8,8,5,4,2,54,32,25,6,4,1,1
Chachoengsao,0,3,50,1462,0,7,611,0,9,1,2,0,5,61,2,6,1,11,1,0,2,1,4,0,3,0,1,126,0,2,45,0,34,3,4,0,35,16,4,9,0,0,6,0,6,0,67,148,0,0,10,1,0,121,3,3,9,14,38,3,0,7,366,14,2,2,1,0,2,2,8,2,5,1,1,0,0
Chiang Mai,0,4,77,1951,0,15,110,14,0,5,7,4,1176,18,64,45,87,26,0,13,1039,1528,17,1,21,238,51,104,0,6,47,4,41,5,77,2,15,30,13,40,45,2,68,12,42,154,8,117,3,142,36,5,0,43,17,12,11,7,2,44,8,18,321,11,6,11,63,9,102,5,10,18,37,41,6,2,2
Chai Nat,0,10,41,91,0,0,16,1,5,0,1,0,1,2,0,0,8,4,0,1,4,0,16,0,0,0,1,16,0,0,3,0,7,0,97,0,0,4,9,1,0,0,17,0,1,0,0,26,0,0,3,0,0,7,50,0,0,5,0,0,0,39,23,5,1,0,2,0,5,0,0,0,1,3,38,1,0
