coorx,coory,epoch,uid
100.54837704,13.91149043,1454215943,207948928
100.55379278,13.80277919,1454215942,1972532480
99.5005101,18.2921293,1454215942,2717268210
100.64901926,13.75519283,1454215940,123440126
100.15037149,18.13328792,1454215939,3076087680
103.25904045,16.23989966,1454215939,2580599904
100.53314209,13.74472101,1454215937,472812844
102.83333,17.33333,1454215936,60620076
100.59526432,13.91679884,1454215936,1735395510
102.07707519,14.97982699,1454215935,347644750
98.96520947,18.79878583,1454215935,65290220
99.8249866,13.5423965,1454215935,96557059
99.8798639,20.05053,1454215934,254120294
99.00423467,18.77698639,1454215933,3270676650
100.49138546,13.75132821,1454215931,1168444748
102.11268198,14.99168579,1454215931,986614590
104.15074862,17.17061506,1454215930,2256522120
99.8114337,13.5340675,1454215929,704976596
100.68046955,13.75616107,1454215928,179151618
100.43874231,13.66350252,1454215928,947764086
100.6419352,13.76763784,1454215927,100432008
100.507146,13.740604,1454215927,2734128138
102.82559395,16.43295686,1454215926,2435343188
100.54008479,13.74080538,1454215925,16038984
100.61700636,13.989398,1454215925,245923409
99.84867556,19.98618097,1454215925,209875219
100.769842,18.77539952,1454215925,18067400
100.91432071,13.2850559,1454215924,85755226
100.54403186,13.74360589,1454215923,74659093
99.63207159,12.88492898,1454215922,275371667
98.95305497,18.79326109,1454215922,563791432
98.89719649,18.83945316,1454215920,505883791
100.5315414,13.74638929,1454215919,179788925
101.21195555,14.63305368,1454215919,1586293142
99.72884115,19.67908318,1454215919,405640164
100.73378317,14.03937545,1454215917,315659978
100.60920044,14.28948765,1454215916,178672105
100.78146042,13.73087505,1454215916,289748878
100.53769112,13.69773571,1454215915,595596901
100.49256027,13.75143243,1454215915,1168444748
100.4498336,13.82028804,1454215913,706820929
98.98478725,18.78911317,1454215911,78535661
100.61624351,13.98890447,1454215909,281584718
100.54497438,13.7800175,1454215909,279462234
98.9817,18.7903,1454215907,1585996158
100.50892595,13.75911949,1454215906,528047609
104.1993795,14.7115673,1454215905,907614085
100.53943992,13.74585696,1454215904,78369524
100.56097,13.81628,1454215904,873479072
101.59896612,14.82894553,1454215903,282542355
103.30046128,16.30865981,1454215903,1701403812
100.5400085,13.7710276,1454215899,2411279077
99.93735354,13.11452506,1454215899,2278867740
104.11922376,17.17794334,1454215897,61102770
100.49166667,13.74916667,1454215897,34771590
100.92699034,13.27890047,1454215897,87867092
100.53459048,13.74602371,1454215897,579877561
100.574642,14.325098,1454215892,81351865
99.49483752,18.28211929,1454215889,997149080
99.89841227,12.97259736,1454215888,715336128
99.96456643,13.5356709,1454215884,1670218404
100.56932195,13.73159659,1454215884,3657961874
101.00375175,13.48633211,1454215884,613446420
100.55096667,13.79955162,1454215884,184523388
98.8968974,18.6288593,1454215883,2562409795
100.56256806,13.90177561,1454215880,234195097
100.60214996,13.93723275,1454215879,3016050961
100.53820727,13.74828165,1454215879,297856363
98.95482302,18.78879954,1454215879,126264763
101.01332942,16.77791077,1454215878,3138268782
100.66648543,13.65919616,1454215873,2579667565
100.562493,13.846337,1454215872,2262506719
100.53512404,13.74415645,1454215871,1690533445
101.72055475,14.87628537,1454215871,1417457515
101.90058909,14.21535333,1454215867,165728785
100.53314209,13.74472101,1454215864,408950625
99.85684453,12.2124791,1454215863,396463854
100.5802503,13.82970372,1454215863,1054257578
100.59041262,13.71616407,1454215862,969764690
100.52820252,13.90396221,1454215859,370747613
99.82482433,12.55244811,1454215856,413925417
100.63654826,13.61014871,1454215854,2822058836
100.62111855,13.62087972,1454215853,233096947
99.96327411,20.408179,1454215851,2482353980
100.48024893,13.71368342,1454215850,123526556
100.5487566,13.9110362,1454215849,274275251
100.53266849,13.74377934,1454215848,1667038740
99.885066,20.431258,1454215847,245848516
99.95674769,13.426655,1454215844,63604783
102.81863093,16.47707785,1454215843,376826307
104.33196508,15.11442248,1454215843,2459392352
99.00133798,18.7903085,1454215842,4539502693
101.08138683,13.03785359,1454215841,188271158
100.68204317,14.83635634,1454215840,1016803896
100.53330023,13.74510882,1454215840,81868440
100.621805,13.759999,1454215838,578743429
100.60382915,13.74627264,1454215837,198872407
100.13935004,18.14313421,1454215837,2888507977
100.95704561,12.7660036,1454215833,193532407
100.56645319,13.73444673,1454215833,1849992560
104.32528138,15.11392105,1454215832,2459392352
98.9575034,18.78936752,1454215829,274055711
100.563097,13.73238671,1454215828,368915545
100.68168553,13.64726921,1454215825,1916685553
100.3863911,13.6786745,1454215824,553410352
100.58552899,13.85488681,1454215823,97179737
102.78052126,14.63220139,1454215821,66155597
100.647581,13.68789,1454215820,416147350
102.83293943,16.43956125,1454215817,2151878744
99.96481149,12.50195169,1454215815,1230094350
100.48874714,13.74410655,1454215815,142558364
100.62118203,13.62092002,1454215814,298402114
100.54837704,13.91149043,1454215814,2351216852
100.5460732,13.74416961,1454215812,96487275
98.98181677,18.78857608,1454215810,1585804940
100.53350348,13.74478798,1454215810,2455290482
99.66041742,12.88855903,1454215809,205231209
100.68145752,13.64727963,1454215807,2397148586
100.53820727,13.74828165,1454215805,297856363
100.61755762,13.98782787,1454215804,415360185
100.63896179,13.77804661,1454215803,4713647114
100.61639746,13.98898854,1454215803,2443713588
100.54146373,13.85673458,1454215800,171115430
100.68145752,13.64727963,1454215799,148688368
98.96327709,18.79774639,1454215799,378570954
100.65767363,13.77461747,1454215799,214435547
100.75304316,18.30380741,1454215796,943266228
100.449543,13.82053631,1454215795,2236968404
100.54837704,13.91149043,1454215754,52673402
103.24624971,16.25026423,1454156706,271447800
100.4331587,19.4276458,1454215792,4835181073
100.61624351,13.98890447,1454215791,2443713588
100.61999893,13.63109063,1454215789,298402114
98.98655653,18.79865632,1454215787,2190458594
98.9565436,18.78854694,1454215787,759373579
100.61781406,13.98893782,1454215786,415360185
100.5692064,14.35537827,1454215786,14123197
102.6422333,14.9905533,1454215782,4838218874
102.101303,12.873129,1454215781,1223506032
100.56155147,13.81315291,1454215780,399282487
100.70963534,13.80000614,1454215780,144207415
103.29381432,16.18605401,1454215780,124672607
100.49662113,13.8665178,1454215776,269745424
101.39350891,14.66005256,1454215774,636133523
100.62504346,13.74124884,1454215771,169957840
100.53943992,13.74585696,1454215770,146008416
100.83749947,13.58677949,1454215770,106410583
100.59326112,14.36030549,1454215768,386395622
100.56955185,13.95418127,1454215768,186340435
100.76978021,18.77532173,1454215767,30704598
100.53456371,13.7449141,1454215766,226742684
99.64969331,11.78559909,1454215766,2875196952
99.86444987,12.65692086,1454215765,314307031
100.29842137,13.78560024,1454215763,102678553
102.10248032,14.97328757,1454215761,270877684
99.81765637,19.9019249,1454215760,389325079
100.56097,13.81628,1454215758,251537684
100.78369704,13.71893104,1454215757,103578365
100.53401986,13.745455,1454215757,2311739184
99.39010468,18.31077437,1454215755,98158543
100.81590711,13.6259345,1454215754,98889233
100.538986,13.830453,1454215747,2956735356
100.53401986,13.745455,1454215747,168655423
100.53357124,13.74559642,1454215746,226742684
100.53497672,13.72848359,1454215745,271942310
100.53459048,13.74602371,1454215743,572436765
98.9565436,18.78854694,1454215742,759373579
102.828064,16.473492,1454215741,1360890486
99.5004966,18.2922813,1454215741,2717268210
100.783,12.9167,1454215738,223144251
100.53314209,13.74472101,1454215736,226742684
100.75734926,14.55839275,1454215735,1652726078
100.44867557,13.80962131,1454215732,135734185
100.54098487,14.00265864,1454215727,260098993
100.53029895,13.74660731,1454215727,1676061186
100.52050889,13.7477172,1454215725,602892129
100.50621642,13.93143873,1454215722,467250525
98.9592507,18.81109703,1454215722,291469966
100.91392263,14.52544024,1454215722,1906464048
100.48561335,13.7683977,1454215722,149791355
100.58552899,13.85488681,1454215721,272845636
100.53406477,13.74565895,1454215715,2311739184
98.89769406,19.75389775,1454215715,90884302
99.00296195,18.77739913,1454215714,2706091975
100.53406477,13.74565895,1454215712,472812844
100.57269612,13.77001266,1454215710,61976812
100.68145752,13.64727963,1454215709,380709607
102.76523255,17.3802367,1454215707,274456508
100.55384874,13.80260586,1454215704,2956735356
99.1492473,14.1132793,1454215704,1925786766
101.39518184,12.60616297,1454215703,2889550838
102.067573,14.955738,1454149815,139402865
100.58493761,13.74791682,1454215700,71241624
100.50800126,13.74445886,1454215699,120500803
100.59601742,13.58904178,1454215697,1539877784
101.87178017,14.37878764,1454215696,151803332
100.567012,13.827877,1454215696,869753527
100.54837704,13.91149043,1454215695,393353061
100.53459048,13.74602371,1454215694,1610627424
100.53395748,13.74497113,1454215693,284100753
98.97222519,18.75884353,1454215693,2161266199
99.40042213,14.12217718,1454215692,235047744
100.494,13.7522,1454215691,116654651
100.54837704,13.91149043,1454215690,248994894
100.81037663,13.79504635,1454215690,202954048
100.58727369,13.9654132,1454215685,98084272
98.955449,18.7917194,1454215683,248497205
99.5070419,18.285383,1454215682,290597743
100.53459048,13.74602371,1454215681,408950625
100.48874714,13.74410655,1454215681,357472804
103.85526569,13.35477416,1454215681,183290248
100.64208269,13.76714723,1454215680,1632453043
101.72200992,17.53791551,1454215675,1095173852
99.82128011,19.90217823,1454215675,2568425708
100.67858219,13.65315978,1454215674,375554535
100.62504346,13.74124884,1454215673,169957840
100.5347489,13.74443955,1454215673,1201372758
100.57003623,13.84232565,1454215673,552640880
100.57100895,14.35698479,1454215671,1412221194
100.587296,13.747338,1454215670,78232505
100.62116146,13.75894607,1454215669,362538440
100.67662954,13.82672465,1454215667,146896489
101.90059846,14.21541231,1454215666,605424834
102.77521133,17.38700955,1454215666,131002008
102.06611538,14.90408562,1454215664,3291374880
100.63465834,13.66945453,1454215661,2795048718
100.98259449,14.10565308,1454215659,253023541
100.34865866,15.26560716,1454215659,467178808
100.494,13.7522,1454215659,179971045
100.68145752,13.64727963,1454215657,1916685553
100.63350433,13.63895802,1454215655,3149317945
100.63154658,13.98673158,1454215654,70560329
100.48543096,13.75263087,1454215654,3213683156
99.95099641,13.09296396,1454215654,177074004
100.54833412,13.91140711,1454215653,2892160838
100.54837704,13.91149043,1454215649,1283123550
100.507146,13.740604,1454215649,323189881
100.64801783,13.69419541,1454215648,350169241
100.67660164,13.82632402,1454215647,104713127
99.8238141,19.91622117,1454215645,1173797372
99.98011204,13.38353553,1454215642,111858777
99.82346533,13.53797094,1454215639,386492267
104.81331764,15.20343764,1454215638,233496899
99.500242,18.284828,1454215638,2331704852
100.13690472,18.14345587,1454215638,76884000
99.12769147,18.92812975,1454215637,284406571
100.54837704,13.91149043,1454215637,106098525
100.58533251,13.85458057,1454215636,307283513
100.5337397,13.74559793,1454215635,468388174
100.64536572,13.67029895,1454215635,1712995614
100.78895564,12.92260148,1454215634,278546027
98.97029473,18.79162458,1454215634,100780396
100.71133075,13.60426295,1454215632,362242023
100.64812822,13.68952642,1454215631,359921102
100.67350804,14.78335336,1454215630,229727618
101.0655186,13.68260823,1454215626,114390066
104.84986557,15.23667185,1454215624,346386358
103.99670662,15.96844328,1454215623,335687724
100.47408438,13.77883898,1454215622,74189573
100.54833412,13.91140711,1454215620,2892160838
100.51572103,13.72736805,1454215620,212440632
100.57299839,13.74729705,1454215619,203767369
100.5487566,13.9110362,1454215619,56650647
99.57809774,13.9705384,1454215616,2728481785
99.85155935,19.91966956,1454215615,327941548
100.49864362,13.75383067,1454215615,408294461
104.85119951,15.23572692,1454215610,287617810
100.54421425,13.91082392,1454215610,3237463010
100.14231722,18.14109744,1454215610,412165867
100.53937286,13.7642086,1454215609,240315923
100.64742565,13.6877913,1454215609,286577797
100.53911789,13.76584138,1454215608,2285357738
100.53943992,13.74585696,1454215608,1346778582
98.98791564,18.78778833,1454215606,2650808106
100.56097,13.81628,1454215601,604372050
104.14562287,17.15752199,1454215601,4833124154
100.31567689,13.80140205,1454215601,367583219
100.56569338,13.75814365,1454215601,279825563
100.53406477,13.74565895,1454215596,328379860
103.50432903,16.43070577,1454215596,376602501
100.53502955,13.86938643,1454215594,130398599
100.53459048,13.74602371,1454215594,239704973
103.27633881,16.20138957,1454215593,2542582754
100.63739545,13.71683414,1454215592,54546484
98.9849891,18.7998868,1454215592,1132957118
100.53460658,13.74603934,1454215592,207437627
100.48572353,13.75986878,1454215591,229753960
101.3838971,14.19399271,1454215588,135533982
100.41113797,13.87711142,1454215587,134458619
100.7518065,13.69616173,1454215548,144836409
99.81807323,19.89797034,1454215585,279875327
99.2284689,18.8158522,1454215584,4835241554
100.819423,14.289008,1454215582,2429937230
100.55332303,13.94013795,1454215582,4241896513
100.60322564,14.07209764,1454215579,244505107
96.176819,16.80428,1454215575,1747749248
100.53314209,13.74472101,1454215573,1023129637
100.61484695,14.01304984,1454215572,2892160838
104.85049263,15.23987241,1454215572,754541917
99.95700359,12.57125584,1454215572,1500811393
100.56955812,13.76617638,1454215571,1193577722
98.45060393,15.14504403,1454215570,62004567
100.54812802,13.91120589,1454215570,284421480
100.75115204,13.69377467,1454215569,75519757
100.50103785,13.67721553,1454215569,275397972
100.63188204,13.8549298,1454215569,424263181
100.54582357,13.91700986,1454215568,3237463010
100.864031,13.9383397,1454215568,3835868712
102.81838609,16.47700006,1454215565,543388896
100.78917128,12.92394225,1454215564,278546027
100.59293909,13.98317798,1454215564,275902757
100.58552899,13.85488681,1454215562,78028785
100.18851941,16.74749183,1454215561,248464340
99.9148857,19.15543405,1454215560,2818556910
100.64208269,13.76714723,1454215559,107695177
104.11848799,17.29574759,1454215557,278035331
100.64203978,13.76754321,1454215555,231300157
100.55635638,13.74435599,1454215554,450853404
100.531084,13.739852,1454215553,1197053850
98.9817,18.7903,1454215551,125024253
100.27627735,13.78712141,1454215548,1829844158
98.98600632,18.78975799,1454215548,3537574094
100.54837704,13.91149043,1454215548,284421480
100.60322164,14.07208879,1454215547,244505107
100.56097,13.81628,1454215546,288684413
104.14594492,17.16218866,1454215546,81005695
98.95188494,18.79728801,1454215546,211868883
100.54054499,13.76983573,1454215545,128472048
100.78222179,12.9211086,1454215544,126675706
100.449543,13.82053631,1454215543,706820929
104.84986557,15.23667185,1454215537,754541917
100.526234,13.968351,1454215536,292223168
100.57353515,13.83965136,1454215535,2427215598
103.27633881,16.20138957,1454215533,458877222
98.95295791,18.7955756,1454215532,2357894702
100.53056717,13.7396769,1454215531,1197053850
102.81467046,16.47982589,1454215531,91585351
100.61021849,13.67036034,1454215530,238620378
103.27662066,16.20179024,1454215528,2542582754
100.594441,13.85850896,1454215527,258720647
102.82525063,16.43254524,1454215526,196416029
99.95691776,12.57069037,1454215526,1500811393
100.48621767,13.75591066,1454215525,2459522815
102.823046,16.47766396,1454215524,1360890486
100.7092779,15.1090219,1454215522,1437291372
100.57047844,13.84637207,1454215517,111906110
100.63465834,13.66945453,1454215515,1477468820
99.96488161,12.50200111,1454215515,290858519
100.7509739,13.5888619,1454215512,509695716
100.54837704,13.91149043,1454215511,1570744112
100.5487566,13.9110362,1454215511,167681948
100.61618328,13.98741786,1454215510,173841899
102.7333791,17.87290979,1454215509,2991194618
102.033273,14.742932,1454215509,2837776632
100.53949146,14.46104454,1454215503,2656001252
100.53460658,13.74603934,1454215503,350835537
100.75121635,13.692762,1454215503,866089274
99.819568,13.536684,1454215502,1585719074
100.18851941,16.74749183,1454215502,248464340
102.72433863,17.86616028,1454215501,544959442
