,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Phayao,1,26,100,449,1,13,159,53,454,32,10,13,630,23,11,36,41,29,6,12,239,77,24,1,17,14,58,163,3,10,43,3,64,8,116,3,25,77,46,81,11,0,147,8,43,157,10,140,2,0,29,13,3,53,48,16,30,31,7,13,7,42,159,31,7,3,45,4,48,8,12,17,20,84,12,2,2
Ratchaburi,6,44,320,2516,3,39,650,193,254,38,23,38,97,166,79,86,34,595,12,22,76,44,81,9,24,21,25,989,6,28,283,14,1155,25,73,5,126,755,12,648,84,8,82,22,60,33,43,601,5,29,0,25,9,180,44,51,728,352,17,52,17,170,931,140,31,20,17,21,40,15,43,37,54,22,23,7,7
Roi Et,24,14,86,541,6,84,196,56,72,11,35,7,26,41,10,483,9,46,138,47,26,15,30,46,493,6,7,178,13,40,274,28,51,6,24,0,31,70,5,78,10,2,28,7,50,14,26,151,1,13,25,0,3,78,13,15,41,37,15,13,40,25,199,82,42,62,7,4,11,2,23,172,99,15,9,2,101
Ranong,1,2,16,111,0,5,21,9,17,2,2,27,6,7,14,7,3,10,3,5,9,2,7,1,2,3,6,38,3,3,15,4,18,9,10,0,6,21,1,24,18,4,9,16,6,6,3,25,1,3,9,3,0,8,1,15,13,11,4,24,3,6,34,6,2,3,7,4,5,5,4,6,5,3,2,2,4
Rayong,7,77,460,3102,5,101,1909,649,424,58,65,37,176,762,43,275,67,227,46,65,144,63,161,12,124,29,37,1117,10,60,482,24,414,29,168,6,194,359,45,394,68,9,132,23,87,55,148,971,7,53,180,78,8,0,102,53,214,207,83,68,25,156,1459,222,48,39,26,13,56,29,201,118,117,49,41,8,17
Sing Buri,2,155,408,807,1,21,298,144,159,118,16,11,82,76,13,44,73,74,8,14,113,55,193,0,16,7,16,381,4,12,137,5,148,9,233,0,50,133,70,127,16,2,131,7,52,59,25,389,0,48,44,13,1,102,0,12,79,80,21,20,3,113,389,125,17,4,30,2,54,5,18,14,24,50,52,2,2
Songkhla,1,10,80,879,1,19,159,54,150,8,9,56,54,38,338,55,14,71,6,23,26,17,46,1,11,11,15,282,1,13,101,4,100,168,28,61,37,105,8,155,155,173,39,57,27,6,16,187,137,16,51,15,15,53,12,0,60,46,8,141,8,24,316,44,7,3,10,280,15,160,18,28,39,13,6,93,4
Samut Songkhram,3,58,394,2468,2,46,692,253,269,46,19,69,104,167,55,110,40,308,28,33,84,46,102,13,63,18,34,1089,10,25,316,18,725,44,103,0,154,1076,18,888,69,16,89,31,62,38,69,774,8,30,728,41,13,214,79,60,0,626,32,78,18,156,1173,197,34,18,27,20,38,23,41,58,52,26,27,5,15
Samut Sakhon,1,64,360,2207,5,50,667,235,217,48,20,50,91,154,41,106,29,242,18,26,84,44,97,7,38,20,27,1037,8,29,289,12,649,30,97,3,139,760,29,683,52,7,77,26,55,42,45,701,8,31,352,37,11,207,80,46,626,0,29,59,15,142,1172,196,21,15,18,15,34,17,42,50,57,33,23,7,10
Sa Kaeo,3,8,56,326,1,44,160,102,41,8,9,5,18,98,12,31,5,30,4,11,14,8,29,2,17,4,4,119,4,5,69,7,38,6,27,0,44,46,9,51,13,0,19,2,16,6,77,97,1,7,17,15,4,83,21,8,32,29,0,10,9,18,154,41,17,14,8,2,10,6,28,26,9,3,7,2,3
