uid,lat,lon,province,province_abbr,province_abbr_index,epoch,date,time
297856363,13.74828165,100.53820727,Bangkok,BKK,4,297856363,2016-01-31,11:51:19
126264763,18.78879954,98.95482302,Chiang Mai,CMI,9,126264763,2016-01-31,11:51:19
3138268782,16.77791077,101.01332942,Phetchabun,PNB,45,3138268782,2016-01-31,11:51:18
2579667565,13.65919616,100.66648543,Samut Prakan,SPK,63,2579667565,2016-01-31,11:51:13
2262506719,13.846337,100.562493,Bangkok,BKK,4,2262506719,2016-01-31,11:51:12
1690533445,13.74415645,100.53512404,Bangkok,BKK,4,1690533445,2016-01-31,11:51:11
1417457515,14.87628537,101.72055475,Nakhon Ratchasima,NMA,31,1417457515,2016-01-31,11:51:11
165728785,14.21535333,101.90058909,Prachinburi,PRI,47,165728785,2016-01-31,11:51:07
408950625,13.74472101,100.53314209,Bangkok,BKK,4,408950625,2016-01-31,11:51:04
396463854,12.2124791,99.85684453,Prachuap Khiri Khan,PKN,40,396463854,2016-01-31,11:51:03
1054257578,13.82970372,100.5802503,Bangkok,BKK,4,1054257578,2016-01-31,11:51:03
969764690,13.71616407,100.59041262,Bangkok,BKK,4,969764690,2016-01-31,11:51:02
370747613,13.90396221,100.52820252,Nonthaburi,NBI,28,370747613,2016-01-31,11:50:59
413925417,12.55244811,99.82482433,Prachuap Khiri Khan,PKN,40,413925417,2016-01-31,11:50:56
2822058836,13.61014871,100.63654826,Samut Prakan,SPK,63,2822058836,2016-01-31,11:50:54
233096947,13.62087972,100.62111855,Samut Prakan,SPK,63,233096947,2016-01-31,11:50:53
2482353980,20.408179,99.96327411,Chiang Rai,CRI,13,2482353980,2016-01-31,11:50:51
123526556,13.71368342,100.48024893,Bangkok,BKK,4,123526556,2016-01-31,11:50:50
274275251,13.9110362,100.5487566,Nonthaburi,NBI,28,274275251,2016-01-31,11:50:49
1667038740,13.74377934,100.53266849,Bangkok,BKK,4,1667038740,2016-01-31,11:50:48
245848516,20.431258,99.885066,Chiang Rai,CRI,13,245848516,2016-01-31,11:50:47
63604783,13.426655,99.95674769,Samut Songkhram,SKM,57,63604783,2016-01-31,11:50:44
376826307,16.47707785,102.81863093,Khon Kaen,KKN,16,376826307,2016-01-31,11:50:43
2459392352,15.11442248,104.33196508,Sisaket,SSK,66,2459392352,2016-01-31,11:50:43
4539502693,18.7903085,99.00133798,Chiang Mai,CMI,9,4539502693,2016-01-31,11:50:42
188271158,13.03785359,101.08138683,Rayong,RYG,54,188271158,2016-01-31,11:50:41
1016803896,14.83635634,100.68204317,Lopburi Province,LRI,23,1016803896,2016-01-31,11:50:40
81868440,13.74510882,100.53330023,Bangkok,BKK,4,81868440,2016-01-31,11:50:40
578743429,13.759999,100.621805,Bangkok,BKK,4,578743429,2016-01-31,11:50:38
198872407,13.74627264,100.60382915,Bangkok,BKK,4,198872407,2016-01-31,11:50:37
2888507977,18.14313421,100.13935004,Phrae,PRE,46,2888507977,2016-01-31,11:50:37
193532407,12.7660036,100.95704561,Chonburi,CBI,7,193532407,2016-01-31,11:50:33
1849992560,13.73444673,100.56645319,Bangkok,BKK,4,1849992560,2016-01-31,11:50:33
2459392352,15.11392105,104.32528138,Sisaket,SSK,66,2459392352,2016-01-31,11:50:32
274055711,18.78936752,98.9575034,Chiang Mai,CMI,9,274055711,2016-01-31,11:50:29
368915545,13.73238671,100.563097,Bangkok,BKK,4,368915545,2016-01-31,11:50:28
1916685553,13.64726921,100.68168553,Samut Prakan,SPK,63,1916685553,2016-01-31,11:50:25
553410352,13.6786745,100.3863911,Bangkok,BKK,4,553410352,2016-01-31,11:50:24
97179737,13.85488681,100.58552899,Bangkok,BKK,4,97179737,2016-01-31,11:50:23
66155597,14.63220139,102.78052126,Buriram,BRM,6,66155597,2016-01-31,11:50:21
416147350,13.68789,100.647581,Samut Prakan,SPK,63,416147350,2016-01-31,11:50:20
2151878744,16.43956125,102.83293943,Khon Kaen,KKN,16,2151878744,2016-01-31,11:50:17
1230094350,12.50195169,99.96481149,Prachuap Khiri Khan,PKN,40,1230094350,2016-01-31,11:50:15
142558364,13.74410655,100.48874714,Bangkok,BKK,4,142558364,2016-01-31,11:50:15
298402114,13.62092002,100.62118203,Samut Prakan,SPK,63,298402114,2016-01-31,11:50:14
2351216852,13.91149043,100.54837704,Nonthaburi,NBI,28,2351216852,2016-01-31,11:50:14
96487275,13.74416961,100.5460732,Bangkok,BKK,4,96487275,2016-01-31,11:50:12
1585804940,18.78857608,98.98181677,Chiang Mai,CMI,9,1585804940,2016-01-31,11:50:10
2455290482,13.74478798,100.53350348,Bangkok,BKK,4,2455290482,2016-01-31,11:50:10
205231209,12.88855903,99.66041742,Phetchaburi,PBI,38,205231209,2016-01-31,11:50:09
2397148586,13.64727963,100.68145752,Samut Prakan,SPK,63,2397148586,2016-01-31,11:50:07
297856363,13.74828165,100.53820727,Bangkok,BKK,4,297856363,2016-01-31,11:50:05
415360185,13.98782787,100.61755762,Pathum Thani,PTE,48,415360185,2016-01-31,11:50:04
4713647114,13.77804661,100.63896179,Bangkok,BKK,4,4713647114,2016-01-31,11:50:03
2443713588,13.98898854,100.61639746,Pathum Thani,PTE,48,2443713588,2016-01-31,11:50:03
171115430,13.85673458,100.54146373,Bangkok,BKK,4,171115430,2016-01-31,11:50:00
148688368,13.64727963,100.68145752,Samut Prakan,SPK,63,148688368,2016-01-31,11:49:59
378570954,18.79774639,98.96327709,Chiang Mai,CMI,9,378570954,2016-01-31,11:49:59
214435547,13.77461747,100.65767363,Bangkok,BKK,4,214435547,2016-01-31,11:49:59
943266228,18.30380741,100.75304316,Nan,NAN,27,943266228,2016-01-31,11:49:56
2236968404,13.82053631,100.449543,Nonthaburi,NBI,28,2236968404,2016-01-31,11:49:55
52673402,13.91149043,100.54837704,Nonthaburi,NBI,28,52673402,2016-01-31,11:49:14
271447800,16.25026423,103.24624971,Maha Sarakham,MKM,25,271447800,2016-01-30,19:25:06
4835181073,19.4276458,100.4331587,Phayao,PYO,50,4835181073,2016-01-31,11:49:52
2443713588,13.98890447,100.61624351,Pathum Thani,PTE,48,2443713588,2016-01-31,11:49:51
298402114,13.63109063,100.61999893,Samut Prakan,SPK,63,298402114,2016-01-31,11:49:49
2190458594,18.79865632,98.98655653,Chiang Mai,CMI,9,2190458594,2016-01-31,11:49:47
759373579,18.78854694,98.9565436,Chiang Mai,CMI,9,759373579,2016-01-31,11:49:47
415360185,13.98893782,100.61781406,Pathum Thani,PTE,48,415360185,2016-01-31,11:49:46
14123197,14.35537827,100.5692064,Phra Nakhon Si Ayutthaya,AYA,3,14123197,2016-01-31,11:49:46
4838218874,14.9905533,102.6422333,Nakhon Ratchasima,NMA,31,4838218874,2016-01-31,11:49:42
1223506032,12.873129,102.101303,Chanthaburi,CTI,14,1223506032,2016-01-31,11:49:41
399282487,13.81315291,100.56155147,Bangkok,BKK,4,399282487,2016-01-31,11:49:40
144207415,13.80000614,100.70963534,Bangkok,BKK,4,144207415,2016-01-31,11:49:40
124672607,16.18605401,103.29381432,Maha Sarakham,MKM,25,124672607,2016-01-31,11:49:40
269745424,13.8665178,100.49662113,Bangkok,BKK,4,269745424,2016-01-31,11:49:36
636133523,14.66005256,101.39350891,Nakhon Ratchasima,NMA,31,636133523,2016-01-31,11:49:34
169957840,13.74124884,100.62504346,Bangkok,BKK,4,169957840,2016-01-31,11:49:31
146008416,13.74585696,100.53943992,Bangkok,BKK,4,146008416,2016-01-31,11:49:30
106410583,13.58677949,100.83749947,Samut Prakan,SPK,63,106410583,2016-01-31,11:49:30
386395622,14.36030549,100.59326112,Phra Nakhon Si Ayutthaya,AYA,3,386395622,2016-01-31,11:49:28
186340435,13.95418127,100.56955185,Nonthaburi,NBI,28,186340435,2016-01-31,11:49:28
30704598,18.77532173,100.76978021,Nan,NAN,27,30704598,2016-01-31,11:49:27
226742684,13.7449141,100.53456371,Bangkok,BKK,4,226742684,2016-01-31,11:49:26
2875196952,11.78559909,99.64969331,Prachuap Khiri Khan,PKN,40,2875196952,2016-01-31,11:49:26
314307031,12.65692086,99.86444987,Phetchaburi,PBI,38,314307031,2016-01-31,11:49:25
102678553,13.78560024,100.29842137,Nakhon Pathom,NPT,33,102678553,2016-01-31,11:49:23
270877684,14.97328757,102.10248032,Nakhon Ratchasima,NMA,31,270877684,2016-01-31,11:49:21
389325079,19.9019249,99.81765637,Chiang Rai,CRI,13,389325079,2016-01-31,11:49:20
251537684,13.81628,100.56097,Bangkok,BKK,4,251537684,2016-01-31,11:49:18
103578365,13.71893104,100.78369704,Bangkok,BKK,4,103578365,2016-01-31,11:49:17
2311739184,13.745455,100.53401986,Bangkok,BKK,4,2311739184,2016-01-31,11:49:17
98158543,18.31077437,99.39010468,Lampang,LPG,21,98158543,2016-01-31,11:49:15
98889233,13.6259345,100.81590711,Samut Prakan,SPK,63,98889233,2016-01-31,11:49:14
2956735356,13.830453,100.538986,Bangkok,BKK,4,2956735356,2016-01-31,11:49:07
168655423,13.745455,100.53401986,Bangkok,BKK,4,168655423,2016-01-31,11:49:07
226742684,13.74559642,100.53357124,Bangkok,BKK,4,226742684,2016-01-31,11:49:06
271942310,13.72848359,100.53497672,Bangkok,BKK,4,271942310,2016-01-31,11:49:05
572436765,13.74602371,100.53459048,Bangkok,BKK,4,572436765,2016-01-31,11:49:03
759373579,18.78854694,98.9565436,Chiang Mai,CMI,9,759373579,2016-01-31,11:49:02
1360890486,16.473492,102.828064,Khon Kaen,KKN,16,1360890486,2016-01-31,11:49:01
2717268210,18.2922813,99.5004966,Lampang,LPG,21,2717268210,2016-01-31,11:49:01
223144251,12.9167,100.783,Chonburi,CBI,7,223144251,2016-01-31,11:48:58
226742684,13.74472101,100.53314209,Bangkok,BKK,4,226742684,2016-01-31,11:48:56
