uid;polyline;isLeafNode;province
1;LINESTRING(121.920350144 20.44508, 109.622957572 20.44508, 109.622957572 8.92493958788, 121.920350144 8.92493958788, 121.920350144 20.44508);True;NULL
21853;LINESTRING(109.622957572 20.44508, 106.548609429 20.44508, 106.548609429 17.565044897, 109.622957572 17.565044897, 109.622957572 20.44508);True;NULL
23221;LINESTRING(106.548609429 20.44508, 105.011435358 20.44508, 105.011435358 19.0050624485, 106.548609429 19.0050624485, 106.548609429 20.44508);True;NULL
23222;LINESTRING(105.011435358 20.44508, 103.474261286 20.44508, 103.474261286 19.0050624485, 105.011435358 19.0050624485, 105.011435358 20.44508);True;NULL
23905;LINESTRING(105.011435358 19.0050624485, 104.242848322 19.0050624485, 104.242848322 18.2850536727, 105.011435358 18.2850536727, 105.011435358 19.0050624485);True;NULL
23993;LINESTRING(104.242848322 19.0050624485, 103.858554804 19.0050624485, 103.858554804 18.6450580606, 104.242848322 18.6450580606, 104.242848322 19.0050624485);True;NULL
23994;LINESTRING(103.858554804 19.0050624485, 103.474261286 19.0050624485, 103.474261286 18.6450580606, 103.858554804 18.6450580606, 103.858554804 19.0050624485);True;NULL
24037;LINESTRING(103.858554804 18.6450580606, 103.666408045 18.6450580606, 103.666408045 18.4650558667, 103.858554804 18.4650558667, 103.858554804 18.6450580606);True;NULL
24038;LINESTRING(103.666408045 18.6450580606, 103.474261286 18.6450580606, 103.474261286 18.4650558667, 103.666408045 18.4650558667, 103.666408045 18.6450580606);True;NULL
24049;LINESTRING(103.666408045 18.4650558667, 103.570334666 18.4650558667, 103.570334666 18.3750547697, 103.666408045 18.3750547697, 103.666408045 18.4650558667);True;NULL
24050;LINESTRING(103.570334666 18.4650558667, 103.474261286 18.4650558667, 103.474261286 18.3750547697, 103.570334666 18.3750547697, 103.570334666 18.4650558667);True;Bueng Kan
24051;LINESTRING(103.570334666 18.3750547697, 103.474261286 18.3750547697, 103.474261286 18.2850536727, 103.570334666 18.2850536727, 103.570334666 18.3750547697);True;Bueng Kan
24052;LINESTRING(103.666408045 18.3750547697, 103.570334666 18.3750547697, 103.570334666 18.2850536727, 103.666408045 18.2850536727, 103.666408045 18.3750547697);True;Bueng Kan
24053;LINESTRING(103.858554804 18.4650558667, 103.762481424 18.4650558667, 103.762481424 18.3750547697, 103.858554804 18.3750547697, 103.858554804 18.4650558667);True;NULL
24054;LINESTRING(103.762481424 18.4650558667, 103.666408045 18.4650558667, 103.666408045 18.3750547697, 103.762481424 18.3750547697, 103.762481424 18.4650558667);True;NULL
24055;LINESTRING(103.762481424 18.3750547697, 103.666408045 18.3750547697, 103.666408045 18.2850536727, 103.762481424 18.2850536727, 103.762481424 18.3750547697);True;Bueng Kan
24056;LINESTRING(103.858554804 18.3750547697, 103.762481424 18.3750547697, 103.762481424 18.2850536727, 103.858554804 18.2850536727, 103.858554804 18.3750547697);True;Bueng Kan
23996;LINESTRING(104.242848322 18.6450580606, 103.858554804 18.6450580606, 103.858554804 18.2850536727, 104.242848322 18.2850536727, 104.242848322 18.6450580606);True;NULL
24081;LINESTRING(104.242848322 18.2850536727, 104.050701563 18.2850536727, 104.050701563 18.1050514788, 104.242848322 18.1050514788, 104.242848322 18.2850536727);True;NULL
24082;LINESTRING(104.050701563 18.2850536727, 103.858554804 18.2850536727, 103.858554804 18.1050514788, 104.050701563 18.1050514788, 104.050701563 18.2850536727);True;Bueng Kan
24083;LINESTRING(104.050701563 18.1050514788, 103.858554804 18.1050514788, 103.858554804 17.9250492848, 104.050701563 17.9250492848, 104.050701563 18.1050514788);True;Bueng Kan
24097;LINESTRING(104.242848322 18.1050514788, 104.146774942 18.1050514788, 104.146774942 18.0150503818, 104.242848322 18.0150503818, 104.242848322 18.1050514788);True;NULL
24098;LINESTRING(104.146774942 18.1050514788, 104.050701563 18.1050514788, 104.050701563 18.0150503818, 104.146774942 18.0150503818, 104.146774942 18.1050514788);True;Bueng Kan
24099;LINESTRING(104.146774942 18.0150503818, 104.050701563 18.0150503818, 104.050701563 17.9250492848, 104.146774942 17.9250492848, 104.146774942 18.0150503818);True;Bueng Kan
24100;LINESTRING(104.242848322 18.0150503818, 104.146774942 18.0150503818, 104.146774942 17.9250492848, 104.242848322 17.9250492848, 104.242848322 18.0150503818);True;Nakhon Phanom
24101;LINESTRING(103.858554804 18.2850536727, 103.666408045 18.2850536727, 103.666408045 18.1050514788, 103.858554804 18.1050514788, 103.858554804 18.2850536727);True;Bueng Kan
24102;LINESTRING(103.666408045 18.2850536727, 103.474261286 18.2850536727, 103.474261286 18.1050514788, 103.666408045 18.1050514788, 103.666408045 18.2850536727);True;Bueng Kan
24113;LINESTRING(103.666408045 18.1050514788, 103.570334666 18.1050514788, 103.570334666 18.0150503818, 103.666408045 18.0150503818, 103.666408045 18.1050514788);True;Bueng Kan
24114;LINESTRING(103.570334666 18.1050514788, 103.474261286 18.1050514788, 103.474261286 18.0150503818, 103.570334666 18.0150503818, 103.570334666 18.1050514788);True;Sakon Nakhon
24115;LINESTRING(103.570334666 18.0150503818, 103.474261286 18.0150503818, 103.474261286 17.9250492848, 103.570334666 17.9250492848, 103.570334666 18.0150503818);True;Sakon Nakhon
24116;LINESTRING(103.666408045 18.0150503818, 103.570334666 18.0150503818, 103.570334666 17.9250492848, 103.666408045 17.9250492848, 103.666408045 18.0150503818);True;Sakon Nakhon
24104;LINESTRING(103.858554804 18.1050514788, 103.666408045 18.1050514788, 103.666408045 17.9250492848, 103.858554804 17.9250492848, 103.858554804 18.1050514788);True;Bueng Kan
24125;LINESTRING(103.858554804 17.9250492848, 103.762481424 17.9250492848, 103.762481424 17.8350481879, 103.858554804 17.8350481879, 103.858554804 17.9250492848);True;Bueng Kan
24126;LINESTRING(103.762481424 17.9250492848, 103.666408045 17.9250492848, 103.666408045 17.8350481879, 103.762481424 17.8350481879, 103.762481424 17.9250492848);True;Sakon Nakhon
24127;LINESTRING(103.762481424 17.8350481879, 103.666408045 17.8350481879, 103.666408045 17.7450470909, 103.762481424 17.7450470909, 103.762481424 17.8350481879);True;Sakon Nakhon
24128;LINESTRING(103.858554804 17.8350481879, 103.762481424 17.8350481879, 103.762481424 17.7450470909, 103.858554804 17.7450470909, 103.858554804 17.8350481879);True;Sakon Nakhon
24122;LINESTRING(103.666408045 17.9250492848, 103.474261286 17.9250492848, 103.474261286 17.7450470909, 103.666408045 17.7450470909, 103.666408045 17.9250492848);True;Sakon Nakhon
24123;LINESTRING(103.666408045 17.7450470909, 103.474261286 17.7450470909, 103.474261286 17.565044897, 103.666408045 17.565044897, 103.666408045 17.7450470909);True;Sakon Nakhon
24124;LINESTRING(103.858554804 17.7450470909, 103.666408045 17.7450470909, 103.666408045 17.565044897, 103.858554804 17.565044897, 103.858554804 17.7450470909);True;Sakon Nakhon
